VendorId,PickUpDateTime,DropOffDateTime,PickUpLocationId,DropOffLocationId,PassengerCount,TripDistance,TipAmount,TotalAmount
1,14/01/2021 20:02,14/01/2021 20:06,43,236,0,0.9,1.0,10.3
1,14/01/2021 20:23,14/01/2021 20:26,244,116,0,0.4,0.0,5.3
1,14/01/2021 20:01,14/01/2021 20:01,142,142,0,0.1,0.0,6.3
1,14/01/2021 20:58,14/01/2021 21:21,132,78,0,18.4,0.0,56.42
1,14/01/2021 20:36,14/01/2021 21:01,237,235,0,8.0,2.75,33.05
1,14/01/2021 20:38,14/01/2021 20:39,41,41,0,0.0,10.0,69.8
1,14/01/2021 20:55,14/01/2021 21:19,125,257,0,6.1,5.06,30.36
1,14/01/2021 20:59,14/01/2021 21:03,246,186,0,0.8,0.0,8.8
1,14/01/2021 20:11,14/01/2021 20:28,142,74,0,4.6,0.0,20.3
1,14/01/2021 20:53,14/01/2021 20:56,237,236,0,0.8,1.66,9.96
1,14/01/2021 20:00,14/01/2021 20:06,211,158,0,0.8,2.05,12.35
1,14/01/2021 20:45,14/01/2021 20:49,68,68,0,1.0,0.0,9.3
1,14/01/2021 20:58,14/01/2021 21:05,249,13,0,1.7,2.25,13.55
1,14/01/2021 20:11,14/01/2021 20:14,262,141,0,0.8,2.6,11.4
1,14/01/2021 20:26,14/01/2021 20:31,79,107,0,1.0,1.0,10.8
1,14/01/2021 20:56,14/01/2021 21:09,90,239,0,3.6,1.75,18.55
1,14/01/2021 20:22,14/01/2021 20:34,237,48,0,2.3,3.7,18.5
1,14/01/2021 21:15,14/01/2021 21:30,236,100,0,3.7,0.0,17.8
1,14/01/2021 21:32,14/01/2021 21:40,100,48,0,1.5,2.95,14.75
1,14/01/2021 21:12,14/01/2021 21:22,158,164,0,2.1,2.65,15.95
1,14/01/2021 21:58,14/01/2021 22:12,79,246,0,2.3,3.06,18.36
1,14/01/2021 21:12,14/01/2021 21:12,107,107,0,0.1,0.0,6.3
1,14/01/2021 21:58,14/01/2021 22:10,236,143,0,2.6,0.0,14.8
1,14/01/2021 21:55,14/01/2021 22:04,79,141,0,3.1,2.85,17.15
1,14/01/2021 21:04,14/01/2021 21:06,237,140,0,0.5,0.0,7.8
1,14/01/2021 21:24,14/01/2021 21:37,141,151,0,3.1,0.0,16.3
1,14/01/2021 21:27,14/01/2021 21:27,229,229,0,0.0,0.0,6.3
1,14/01/2021 21:36,14/01/2021 21:46,230,137,0,1.8,2.45,14.75
1,14/01/2021 21:23,14/01/2021 21:31,236,163,0,1.6,2.8,14.1
1,14/01/2021 21:08,14/01/2021 21:12,162,141,0,0.7,0.0,8.8
1,14/01/2021 21:08,14/01/2021 21:30,100,116,0,6.1,2.0,26.3
1,14/01/2021 21:10,14/01/2021 21:19,162,68,0,1.4,2.35,14.15
1,14/01/2021 21:00,14/01/2021 21:06,236,237,0,1.3,0.03,10.83
1,14/01/2021 21:24,14/01/2021 21:33,163,74,0,3.0,0.0,14.3
1,14/01/2021 21:54,14/01/2021 21:58,43,238,0,1.1,0.99,10.29
1,14/01/2021 21:25,14/01/2021 21:35,163,141,0,1.5,2.46,14.76
1,14/01/2021 21:22,14/01/2021 21:36,164,262,0,3.2,4.2,21.0
1,14/01/2021 21:43,14/01/2021 21:52,263,237,0,1.5,0.0,11.8
